"","ba�os","m2","jardin","ascensor","parking","piscina","terraza","habitaciones","a_reformar","tipo_vendedor","tipo_inmueble","latitude","longitude","precio","precio_final","distrito","planta","vistas","variacion_precio","dias_venta"
"30910",1,180,NA,0,NA,NA,NA,5,1,2,1,39.4768384,-0.3815386,315000,315000,"ciutat vella",1,"exterior",0,49
"30913",2,102,1,1,1,1,1,2,0,2,1,39.4844174,-0.4037198,248000,248000,"campanar",8,"exterior",0,16
"30916",2,124,1,1,0,1,NA,3,0,2,1,39.4456353,-0.3751196,224000,224000,"quatre carreres",10,"exterior",0,37
"30929",2,154,NA,1,NA,NA,NA,4,1,2,1,39.4688708,-0.3693679,510000,510000,"l'eixample",3,"exterior",0,0
"30935",1,110,0,1,0,0,0,4,0,1,1,39.4573764,-0.4028351,107000,107000,"patraix",5,"interior",0,28
"30939",2,124,0,1,0,0,0,3,0,2,1,39.4455437,-0.3745592,224000,224000,"quatre carreres",10,"exterior",0,40
"30941",1,100,NA,1,NA,NA,NA,4,0,2,1,39.4947535,-0.3728803,119000,119000,"rascanya",3,"exterior",0,3
"30943",2,100,0,1,0,0,0,4,0,2,1,39.4937041,-0.3787433,129000,129000,"rascanya",3,"exterior",0,28
"30966",2,97,0,1,0,0,1,4,0,2,1,39.4687068,-0.3903493,250000,250000,"extramurs",2,"exterior",0,12
"30989",1,65,NA,NA,NA,NA,NA,2,0,2,1,39.4928691,-0.3943584,77500,73500,"benicalap",NA,"",-4000,32
"30991",1,90,NA,NA,NA,NA,NA,4,1,2,1,39.489768,-0.3771018,71990,71990,"la saïdia",5,"",0,28
"30992",2,101,1,1,NA,NA,0,4,0,2,1,39.4604936,-0.4032939,167000,167000,"patraix",1,"exterior",0,41
"30993",1,80,0,1,0,0,0,2,0,1,1,39.4627673,-0.3429585,176000,285000,"camins al grau",6,"exterior",109000,29
"30997",1,70,NA,0,NA,NA,NA,2,0,2,1,39.4691562,-0.3335844,81000,81000,"poblats marítims",3,"exterior",0,60
"31030",1,70,0,1,0,0,0,2,0,2,1,39.4705564,-0.3292227,175000,175000,"poblats marítims",NA,"",0,12
"31031",1,70,0,1,0,0,0,2,0,2,1,39.4710564,-0.3284227,175000,175000,"poblats marítims",NA,"",0,32
"31033",1,75,NA,1,NA,NA,NA,3,0,2,1,39.4573626,-0.3871362,119000,119000,"jesús",3,"exterior",0,16
"31046",2,86,0,1,0,0,0,4,0,2,1,39.4964041,-0.3793433,129000,129000,"rascanya",3,"",0,28
"31084",1,55,1,1,1,1,0,1,0,2,1,39.4818738,-0.4009002,175000,170000,"campanar",7,"exterior",-5000,29
"31120",1,111,NA,1,NA,NA,NA,3,0,2,1,39.4559282,-0.3831858,118000,110000,"jesús",4,"exterior",-8000,32
"31149",1,85,0,1,0,0,0,3,0,2,1,39.493074,-0.3963508,102000,102000,"benicalap",1,"exterior",0,13
"31154",2,65,NA,0,NA,NA,NA,2,1,2,1,39.4847028,-0.357941,72000,72000,"benimaclet",5,"interior",0,16
"31156",2,93,0,1,0,0,1,3,0,2,1,39.4564978,-0.3729929,168500,153000,"quatre carreres",1,"exterior",-15500,63
"31164",1,75,0,0,NA,0,NA,2,0,2,1,39.458192,-0.3863428,85000,85000,"jesús",4,"",0,37
"31178",2,123,NA,1,NA,NA,1,3,0,2,1,39.4702981,-0.3270587,299000,299000,"poblats marítims",6,"exterior",0,24
"31194",2,133,0,1,0,0,0,4,0,2,1,39.4422071,-0.3888999,150000,135000,"jesús",6,"",-15000,29
"31205",3,287,0,1,0,0,0,5,1,2,1,39.4703685,-0.3754241,575000,575000,"ciutat vella",5,"exterior",0,44
"31212",2,111,0,1,0,0,0,4,0,2,1,39.4618909,-0.3841995,281200,281200,"extramurs",5,"",0,28
"31213",1,88,NA,0,NA,NA,NA,4,1,2,1,39.490768,-0.3767018,71990,71990,"la saïdia",5,"exterior",0,41
"31259",1,83,NA,NA,NA,NA,NA,3,1,2,1,39.4601804,-0.3474437,79000,79000,"camins al grau",5,"",0,13
"31261",1,118,0,0,0,0,0,3,0,2,1,39.4636671,-0.3389185,159000,159000,"camins al grau",2,"exterior",0,16
"31262",1,67,NA,0,NA,NA,NA,3,0,2,1,39.4673078,-0.3348033,79999,79999,"poblats marítims",4,"exterior",0,24
"31265",3,170,0,1,0,0,1,3,0,2,1,39.4940732,-0.4028874,583000,583000,"campanar",NA,"",0,32
"31267",2,107,0,1,0,0,0,3,0,2,1,39.4677068,-0.3905493,245000,245000,"extramurs",2,"exterior",0,0
"31278",2,124,NA,1,1,NA,NA,3,0,2,1,39.4538962,-0.4002928,205000,205000,"patraix",6,"exterior",0,41
"31281",1,90,NA,1,NA,NA,NA,3,0,2,1,39.472287,-0.3475385,175000,175000,"algirós",9,"exterior",0,16
"31284",1,86,NA,1,NA,NA,NA,4,1,2,1,39.456404,-0.3882828,89000,89000,"jesús",2,"exterior",0,16
"31304",1,60,0,0,0,0,0,2,1,1,1,39.4462263,-0.3359122,65000,65000,"quatre carreres",1,"exterior",0,40
"31327",1,74,0,1,0,0,0,3,0,2,1,39.4641591,-0.3372256,125500,125500,"camins al grau",2,"exterior",0,32
"31337",1,75,0,1,0,0,0,3,0,2,1,39.48326,-0.3715217,145000,145000,"la saïdia",4,"exterior",0,15
"31339",1,49,0,0,0,0,0,2,0,2,1,39.4550735,-0.3913022,118000,118000,"patraix",2,"exterior",0,13
"31361",1,65,NA,0,NA,NA,NA,2,0,2,1,39.4589464,-0.3872391,85000,85000,"jesús",4,"exterior",0,3
"31363",2,105,NA,1,NA,NA,NA,3,0,2,1,39.4712487,-0.4032632,120000,120000,"l'olivereta",3,"exterior",0,13
"31365",4,272,NA,1,1,1,1,5,0,2,1,39.477201,-0.3793544,999000,999000,"ciutat vella",3,"exterior",0,12
"31371",2,100,NA,1,1,NA,1,3,0,2,1,39.4712349,-0.3975323,173000,173000,"l'olivereta",1,"exterior",0,29
"31376",1,100,NA,1,NA,NA,NA,4,0,2,1,39.4936535,-0.3727803,118000,118000,"rascanya",3,"exterior",0,3
"31381",2,108,0,1,0,0,0,3,0,2,1,39.4515076,-0.4034727,133500,127000,"patraix",5,"exterior",-6500,41
"31393",2,148,0,1,0,0,0,4,0,1,1,39.4579605,-0.3738975,260000,260000,"l'eixample",4,"exterior",0,28
"31401",2,174,1,1,1,1,1,3,0,2,1,39.4858185,-0.4012595,430000,430000,"campanar",1,"exterior",0,13
"31411",1,50,NA,0,NA,NA,NA,2,0,2,1,39.4671898,-0.4026608,35000,35000,"l'olivereta",5,"exterior",0,32
"31443",1,69,0,1,0,0,0,3,0,2,1,39.473605,-0.3976082,120000,120000,"l'olivereta",4,"interior",0,39
"31455",1,59,NA,NA,NA,NA,NA,2,0,2,1,39.4544867,-0.3667512,87500,83000,"quatre carreres",NA,"",-4500,56
"31456",2,137,NA,1,1,NA,1,4,0,2,1,39.4868318,-0.3827317,185000,182000,"la saïdia",2,"exterior",-3000,48
"31457",1,76,NA,0,NA,NA,1,3,0,2,1,39.4563809,-0.3337516,80000,80000,"poblats marítims",4,"exterior",0,40
"31469",2,90,NA,1,NA,NA,NA,2,1,2,1,39.4866553,-0.3913576,165000,165000,"campanar",NA,"",0,8
"31481",1,58,NA,0,NA,NA,NA,1,0,2,1,39.4545069,-0.3932743,130000,118000,"patraix",NA,"",-12000,41
"31483",1,102,NA,1,NA,NA,NA,4,1,2,1,39.4589764,-0.4046351,107000,107000,"patraix",5,"interior",0,44
"31484",2,120,NA,1,NA,NA,1,4,0,2,1,39.4806977,-0.3611362,350000,350000,"el pla del real",1,"exterior",0,25
"31488",2,158,0,1,1,1,1,4,0,2,1,39.4483579,-0.3652756,389000,389000,"quatre carreres",13,"exterior",0,12
"31490",1,55,NA,0,NA,NA,NA,2,0,2,1,39.4676898,-0.4058608,35000,35000,"l'olivereta",5,"exterior",0,16
"31492",1,64,NA,1,0,NA,NA,2,0,2,1,39.4637972,-0.3909182,134000,134000,"extramurs",9,"exterior",0,49
"31494",2,105,NA,1,NA,NA,NA,2,0,2,1,39.467098,-0.3757321,230000,230000,"l'eixample",2,"exterior",0,49
"31500",1,55,1,1,NA,1,NA,1,0,2,1,39.4964397,-0.3878106,129900,129900,"benicalap",5,"exterior",0,10
"31503",2,144,0,1,0,0,0,4,1,2,1,39.4744208,-0.3896726,315000,315000,"extramurs",5,"exterior",0,28
"31511",2,81,NA,0,NA,NA,NA,3,0,2,1,39.4790425,-0.329381,89000,89000,"poblats marítims",1,"exterior",0,0
"31525",2,115,NA,1,NA,NA,NA,4,0,2,1,39.4503002,-0.3931547,165000,165000,"jesús",2,"exterior",0,8
"31567",2,110,0,1,0,0,1,3,0,2,1,39.450665,-0.3692122,150100,150100,"quatre carreres",4,"",0,37
"31575",2,108,NA,1,1,NA,NA,3,0,2,1,39.4598183,-0.3384772,190000,190000,"poblats marítims",5,"exterior",0,12
"31586",1,95,0,0,0,0,0,2,0,2,1,39.4754525,-0.38157,240000,232000,"ciutat vella",1,"exterior",-8000,51
"31588",2,150,0,1,0,0,1,4,0,2,1,39.493165,-0.3771841,150000,150000,"rascanya",2,"exterior",0,0
"31590",1,82,0,1,0,0,1,3,0,2,1,39.4850151,-0.3824166,148000,144900,"la saïdia",2,"exterior",-3100,51
"31607",2,152,NA,1,NA,NA,1,4,0,2,1,39.4690483,-0.3478681,310000,310000,"algirós",2,"exterior",0,16
"31613",2,138,0,1,0,0,1,2,0,2,1,39.468959,-0.3746998,547000,495000,"ciutat vella",6,"exterior",-52000,41
"31619",2,173,NA,1,1,NA,1,5,0,2,1,39.4775321,-0.3555621,365000,365000,"el pla del real",8,"exterior",0,28
"31628",2,110,NA,1,1,NA,NA,4,0,2,1,39.4498195,-0.3710804,165000,165000,"quatre carreres",4,"exterior",0,12
"31638",1,57,NA,0,NA,NA,1,1,0,2,1,39.4705223,-0.3849031,150000,150000,"extramurs",1,"exterior",0,8
"31651",1,70,NA,1,0,NA,NA,3,0,2,1,39.455527,-0.3910672,95000,95000,"jesús",NA,"",0,16
"31662",2,135,0,1,0,0,0,4,0,2,1,39.4753246,-0.3523776,275000,275000,"el pla del real",6,"exterior",0,28
"31676",2,125,1,1,1,0,0,3,0,2,1,39.4609262,-0.3534651,350000,350000,"camins al grau",3,"exterior",0,16
"31678",1,70,0,1,0,0,1,3,0,2,1,39.4648591,-0.3380256,125500,125500,"camins al grau",2,"interior",0,3
"31679",2,101,NA,1,NA,NA,NA,3,1,2,1,39.4619526,-0.3722977,218000,218000,"l'eixample",5,"exterior",0,20
"31702",1,59,0,0,0,0,0,2,0,2,1,39.4548867,-0.3649512,91500,83000,"quatre carreres",3,"interior",-8500,60
"31712",1,85,NA,0,NA,NA,NA,3,1,2,1,39.4804713,-0.3861788,83600,83600,"campanar",3,"exterior",0,16
"31716",1,80,0,0,0,0,0,2,0,2,1,39.4643776,-0.3412573,105000,105000,"camins al grau",3,"",0,0
"31728",1,93,0,1,0,0,0,3,0,2,1,39.4697813,-0.4046922,105000,105000,"l'olivereta",9,"",0,16
"31730",2,177,0,1,0,0,0,5,1,2,1,39.4637286,-0.3766642,349000,349000,"l'eixample",5,"exterior",0,12
"31749",2,138,0,1,0,0,1,4,0,1,1,39.4439613,-0.3933043,135000,135000,"jesús",1,"exterior",0,13
"31795",2,143,NA,0,NA,NA,1,1,0,2,1,39.471362,-0.3301411,209900,209900,"poblats marítims",NA,"",0,32
"31808",2,135,NA,1,NA,NA,NA,3,0,2,1,39.4746288,-0.3499984,240000,240000,"algirós",7,"exterior",0,0
"31828",2,73,0,1,0,0,0,2,0,2,1,39.4751407,-0.3828893,245000,245000,"ciutat vella",1,"exterior",0,25
"31838",2,107,NA,1,NA,NA,NA,3,0,2,1,39.4709068,-0.3930493,240000,240000,"extramurs",2,"exterior",0,28
"31847",1,105,NA,1,NA,NA,NA,4,0,2,1,39.452434,-0.4043833,120000,120000,"patraix",2,"",0,28
"31856",1,74,NA,1,NA,NA,NA,3,0,2,1,39.4850913,-0.3987451,130000,130000,"campanar",3,"interior",0,16
"31861",1,59,NA,0,NA,NA,NA,2,0,2,1,39.4561584,-0.3666277,91500,83000,"quatre carreres",3,"exterior",-8500,56
"31870",2,150,NA,1,0,NA,1,3,0,2,1,39.4638236,-0.3757592,280000,280000,"l'eixample",1,"exterior",0,16
"31880",1,50,NA,1,NA,NA,1,1,0,2,1,39.4777015,-0.3777625,134000,134000,"ciutat vella",NA,"",0,49
"31916",1,62,0,0,0,0,0,2,0,2,1,39.4631821,-0.3716654,179000,179000,"l'eixample",5,"exterior",0,25
"31919",2,95,0,1,0,0,0,3,0,2,1,39.4651187,-0.3925315,144000,144000,"patraix",4,"interior",0,20
"31920",1,74,0,1,0,0,0,3,0,2,1,39.4468027,-0.3909605,100000,100000,"jesús",3,"",0,3
"31935",1,92,0,0,0,0,0,2,0,2,1,39.4906341,-0.3965811,95000,95000,"benicalap",2,"exterior",0,16
"31962",1,76,NA,NA,NA,NA,NA,4,0,2,1,39.4919337,-0.3689931,79000,75000,"rascanya",NA,"",-4000,28
"31969",1,62,NA,0,NA,NA,NA,3,0,2,1,39.4455708,-0.3353996,64000,64000,"quatre carreres",1,"exterior",0,25
"31970",2,134,0,1,0,0,1,3,0,1,1,39.4879731,-0.3905422,234000,234000,"campanar",2,"exterior",0,16
"31992",2,152,NA,1,NA,NA,NA,5,1,2,1,39.4731791,-0.3810943,339000,339000,"ciutat vella",6,"exterior",0,28
"31995",2,98,NA,1,NA,NA,1,2,0,2,1,39.4649294,-0.3294912,185000,185000,"poblats marítims",3,"exterior",0,60
"31998",1,95,NA,0,NA,NA,NA,2,0,2,1,39.4792651,-0.378394,240000,240000,"ciutat vella",1,"exterior",0,10
"31999",3,236,NA,1,1,NA,0,5,1,2,1,39.4684069,-0.3709944,670000,670000,"ciutat vella",8,"exterior",0,25
"32001",1,96,NA,1,NA,NA,NA,2,0,2,1,39.4591568,-0.3737389,237000,237000,"l'eixample",7,"exterior",0,28
"32015",2,145,0,1,1,0,NA,3,0,2,1,39.4604902,-0.3856093,230000,230000,"jesús",4,"exterior",0,8
"32045",1,94,0,1,1,0,0,3,0,2,1,39.4524885,-0.404571,104000,104000,"patraix",3,"interior",0,0
"32051",1,113,NA,1,NA,NA,NA,3,0,2,1,39.4598875,-0.3958246,145000,145000,"patraix",6,"exterior",0,28
"32094",1,82,0,1,0,0,1,2,0,2,1,39.4640663,-0.3702436,170000,160000,"l'eixample",1,"exterior",-10000,25
"32112",2,103,NA,1,NA,NA,NA,3,0,2,1,39.4612293,-0.3918789,169000,169000,"patraix",3,"exterior",0,25
"32114",2,114,NA,1,1,NA,1,4,0,2,1,39.4711509,-0.3911555,229900,229900,"extramurs",7,"exterior",0,28
"32117",1,89,NA,1,NA,NA,NA,2,0,2,1,39.4912419,-0.373104,225000,225000,"la saïdia",5,"exterior",0,28
"32122",2,92,NA,1,NA,NA,1,3,0,2,1,39.4659826,-0.3776556,239800,234900,"extramurs",1,"exterior",-4900,16
"32135",3,245,1,1,1,1,1,3,0,2,1,39.4582853,-0.3477713,778000,778000,"camins al grau",9,"exterior",0,0
"32144",1,60,NA,0,NA,NA,1,3,1,2,1,39.4605309,-0.3782727,145000,145000,"l'eixample",1,"exterior",0,0
"32150",2,174,1,1,1,1,1,3,0,2,1,39.4861174,-0.401821,430000,430000,"campanar",1,"exterior",0,4
"32156",1,40,NA,0,NA,NA,NA,1,0,2,1,39.4678054,-0.3295306,90000,90000,"poblats marítims",1,"exterior",0,5
"32160",1,75,NA,1,NA,NA,NA,3,0,2,1,39.4823913,-0.3983451,130000,130000,"campanar",3,"interior",0,16
"32176",2,90,0,1,0,0,0,3,0,2,1,39.4658574,-0.3572319,192000,192000,"el pla del real",3,"exterior",0,28
"32197",2,60,NA,0,NA,NA,1,2,0,2,1,39.4419574,-0.3908715,65000,59900,"jesús",NA,"",-5100,39
"32210",2,136,0,1,0,0,1,4,1,2,1,39.4675705,-0.3661859,359000,359000,"l'eixample",1,"exterior",0,28
"32214",1,69,NA,0,NA,NA,NA,3,0,2,1,39.4839225,-0.359957,114000,114000,"benimaclet",2,"exterior",0,8
"32277",2,105,0,1,1,1,1,3,0,2,1,39.4918133,-0.405899,499000,499000,"campanar",2,"exterior",0,29
"32287",2,129,0,1,0,NA,1,4,0,2,1,39.4756172,-0.3885769,400000,400000,"extramurs",1,"exterior",0,0
"32310",1,74,NA,NA,0,NA,NA,3,0,2,1,39.4921571,-0.3946871,66000,66000,"benicalap",NA,"",0,13
"32311",1,103,NA,NA,0,NA,NA,3,0,2,1,39.4673153,-0.3290004,115000,109500,"poblats marítims",NA,"",-5500,63
"32317",2,113,1,1,NA,1,NA,3,0,2,1,39.4956118,-0.3876593,260000,260000,"benicalap",3,"exterior",0,16
"32329",1,66,0,0,0,0,0,2,0,2,1,39.4920691,-0.3964584,77500,73500,"benicalap",3,"exterior",-4000,37
"32350",2,104,0,1,1,0,0,4,0,2,1,39.4797742,-0.3708096,256100,256100,"la saïdia",2,"exterior",0,28
"32358",4,315,0,1,0,0,0,4,0,2,1,39.4765125,-0.3651702,1350000,1350000,"el pla del real",5,"exterior",0,44
"32380",2,90,NA,1,NA,NA,NA,2,1,2,1,39.4852553,-0.3898576,165000,165000,"campanar",NA,"",0,24
"32382",2,123,NA,1,NA,NA,NA,3,0,2,1,39.4688981,-0.3286587,299000,299000,"poblats marítims",6,"exterior",0,24
"32393",1,73,0,1,0,0,0,3,0,2,1,39.4711425,-0.4053492,101230,101230,"l'olivereta",2,"interior",0,32
"32405",1,97,0,1,0,0,0,3,1,2,1,39.4884954,-0.3726274,124340,124340,"la saïdia",NA,"",0,44
"32439",1,55,NA,0,NA,NA,NA,1,0,2,1,39.4690693,-0.3299004,110500,110500,"poblats marítims",2,"exterior",0,24
"32443",2,180,0,1,0,0,1,3,0,1,1,39.4640477,-0.3774634,600000,600000,"l'eixample",5,"exterior",0,0
"32465",1,78,0,1,0,0,1,2,1,2,1,39.468357,-0.3893988,158000,158000,"l'olivereta",NA,"",0,8
"32472",1,96,NA,1,NA,NA,NA,3,0,2,1,39.4810308,-0.3728275,205000,205000,"la saïdia",5,"exterior",0,12
"32489",2,141,0,1,0,0,0,3,0,2,1,39.4717844,-0.3734247,575000,575000,"ciutat vella",2,"exterior",0,41
"32490",2,141,0,1,0,0,0,3,0,2,1,39.4724844,-0.3737247,585000,585000,"ciutat vella",3,"exterior",0,41
"32491",2,95,0,1,0,0,1,2,0,2,1,39.4724844,-0.3701247,595000,595000,"ciutat vella",4,"exterior",0,41
"32492",1,85,0,0,0,0,0,2,1,2,1,39.4698781,-0.4047368,68000,68000,"l'olivereta",NA,"",0,39
"32497",1,99,NA,1,NA,NA,1,3,0,2,1,39.4478973,-0.390289,99000,99000,"jesús",1,"exterior",0,16
"32507",2,89,NA,1,NA,NA,NA,3,1,2,1,39.4873017,-0.3734022,134000,134000,"la saïdia",4,"exterior",0,12
"32527",2,88,NA,1,1,NA,NA,2,0,2,1,39.459733,-0.3432937,180000,175000,"camins al grau",4,"exterior",-5000,32
"32539",1,65,NA,0,NA,NA,NA,2,0,2,1,39.4589464,-0.3868391,85000,85000,"jesús",4,"exterior",0,0
"32565",1,91,NA,1,NA,NA,NA,3,0,2,1,39.4725988,-0.3374109,148990,148990,"poblats marítims",2,"exterior",0,12
"32590",2,108,NA,1,1,NA,NA,4,0,2,1,39.4830968,-0.3935439,240000,240000,"campanar",6,"exterior",0,29
"32592",1,85,NA,1,0,NA,NA,3,0,2,1,39.4669469,-0.4005338,83000,79500,"l'olivereta",NA,"",-3500,37
"32597",1,85,NA,1,NA,NA,NA,3,0,2,1,39.4541028,-0.3903444,127500,127500,"jesús",2,"exterior",0,16
"32636",1,90,NA,0,NA,NA,1,3,0,2,1,39.4904806,-0.3928738,99000,99000,"benicalap",1,"exterior",0,32
"32644",1,101,NA,1,NA,NA,0,4,1,2,1,39.4509685,-0.4042418,112500,112500,"patraix",7,"exterior",0,0
"32651",1,179,NA,1,1,NA,NA,2,0,2,1,39.4701709,-0.3573036,420000,420000,"el pla del real",7,"exterior",0,0
"32672",1,64,NA,0,NA,NA,NA,3,0,2,1,39.4971203,-0.3698734,60000,60000,"rascanya",4,"exterior",0,8
"32681",2,135,0,1,1,0,1,3,0,1,1,39.4842527,-0.3747382,300000,300000,"la saïdia",1,"exterior",0,20
"32687",1,84,NA,1,NA,NA,NA,3,0,2,1,39.4601373,-0.337069,145000,145000,"poblats marítims",2,"exterior",0,12
"32689",2,101,NA,0,NA,NA,NA,3,0,2,1,39.4631442,-0.3302976,160000,160000,"poblats marítims",3,"exterior",0,27
"32702",2,92,0,1,0,0,0,2,0,2,1,39.4636849,-0.3809635,235000,235000,"extramurs",2,"exterior",0,25
"32713",1,89,NA,1,NA,NA,NA,4,0,2,1,39.4401284,-0.390424,79000,79000,"jesús",7,"exterior",0,16
"32728",1,68,NA,0,NA,NA,NA,3,0,2,1,39.4507731,-0.3845581,69000,69000,"jesús",3,"exterior",0,32
"32731",1,88,1,0,NA,0,NA,3,1,2,1,39.4665171,-0.3280003,123000,123000,"poblats marítims",1,"exterior",0,24
"32741",1,105,NA,1,1,NA,NA,3,0,2,1,39.4613694,-0.3993916,170000,170000,"patraix",7,"exterior",0,15
"32751",2,122,NA,1,NA,NA,NA,3,0,2,1,39.4618841,-0.3869291,365000,360000,"extramurs",2,"exterior",-5000,44
"32768",1,64,0,0,0,0,1,2,0,2,1,39.446513,-0.332455,50500,50500,"poblats marítims",5,"exterior",0,0
"32773",1,91,NA,1,NA,NA,NA,3,1,2,1,39.4494997,-0.3928912,95000,95000,"jesús",4,"exterior",0,16
"32783",1,72,NA,1,NA,NA,NA,3,0,2,1,39.4922646,-0.3792176,107000,107000,"rascanya",4,"exterior",0,20
"32787",2,90,0,1,0,0,1,2,0,1,1,39.4562427,-0.3568417,350000,350000,"quatre carreres",12,"exterior",0,0
"32790",2,140,NA,1,1,NA,NA,4,1,2,1,39.4637234,-0.3806486,259900,259900,"extramurs",6,"exterior",0,0
"32797",1,112,1,0,0,0,0,3,1,2,1,39.4668843,-0.3251892,123000,123000,"poblats marítims",1,"exterior",0,24
"32805",1,89,NA,0,NA,NA,NA,2,0,2,1,39.4900805,-0.3889915,78000,78000,"benicalap",3,"exterior",0,16
"32807",1,94,0,1,0,0,0,2,0,2,1,39.4516806,-0.4046021,104000,104000,"patraix",NA,"",0,16
"32817",2,141,0,1,0,0,0,3,0,2,1,39.462039,-0.3727975,395000,395000,"l'eixample",1,"exterior",0,28
"32838",1,65,NA,1,NA,NA,NA,3,0,2,1,39.4652282,-0.3868021,139000,139000,"patraix",1,"exterior",0,41
"32843",1,75,NA,1,NA,NA,NA,4,1,2,1,39.4566043,-0.3887497,99000,99000,"jesús",4,"exterior",0,39
"32852",2,109,NA,1,NA,NA,NA,3,0,2,1,39.4659434,-0.3918845,185000,185000,"patraix",3,"exterior",0,15
"32853",2,130,NA,1,NA,NA,NA,4,1,2,1,39.4692329,-0.3802696,330000,330000,"ciutat vella",4,"exterior",0,41
"32858",2,183,NA,1,NA,NA,NA,4,0,2,1,39.4735495,-0.3783289,365000,365000,"ciutat vella",3,"exterior",0,28
"32859",2,128,NA,1,NA,NA,NA,3,0,2,1,39.44925,-0.37979,203000,203000,"quatre carreres",7,"exterior",0,0
"32866",1,82,NA,1,NA,NA,NA,3,0,2,1,39.491285,-0.3803311,110000,110000,"rascanya",3,"exterior",0,3
"32891",1,110,NA,1,NA,1,1,2,0,2,1,39.4893542,-0.3998918,250000,250000,"campanar",7,"exterior",0,0
"32899",2,170,0,1,NA,0,NA,3,0,2,1,39.4733033,-0.3728199,470000,470000,"ciutat vella",3,"exterior",0,44
"32907",2,107,1,1,NA,1,NA,3,0,2,1,39.4957247,-0.3838147,218900,218900,"benicalap",4,"exterior",0,16
"32913",2,130,NA,1,1,NA,1,4,0,2,1,39.4500975,-0.3770708,165000,165000,"quatre carreres",5,"exterior",0,12
"32931",1,67,0,0,0,0,0,3,0,2,1,39.4909838,-0.3763952,78000,78000,"rascanya",5,"exterior",0,13
"32934",2,174,0,1,0,0,0,5,0,2,1,39.4728596,-0.3796195,470000,395000,"ciutat vella",8,"",-75000,20
"32936",3,119,1,1,1,1,1,4,0,2,1,39.4912394,-0.4065031,330000,330000,"campanar",NA,"",0,13
"32941",2,130,NA,1,NA,NA,1,3,0,2,1,39.4722059,-0.3950421,200000,200000,"l'olivereta",1,"exterior",0,3
"32946",2,90,NA,1,0,NA,NA,2,0,2,1,39.4884383,-0.3811475,220000,190000,"la saïdia",2,"exterior",-30000,48
"32967",1,88,1,1,0,0,0,4,0,2,1,39.4685791,-0.3455155,155000,155000,"camins al grau",8,"",0,4
"32971",2,90,0,1,0,0,0,3,0,2,1,39.4652574,-0.3592319,192000,192000,"el pla del real",3,"exterior",0,28
"32973",2,134,0,1,0,0,0,3,1,2,1,39.4654969,-0.3706825,469000,469000,"l'eixample",5,"exterior",0,44
"32992",1,101,NA,1,NA,NA,NA,3,1,2,1,39.4509685,-0.4042418,112500,112500,"patraix",7,"exterior",0,12
"32995",1,90,0,0,0,0,1,3,0,1,1,39.46538,-0.3417638,180000,180000,"camins al grau",4,"exterior",0,39
"32997",1,80,NA,1,NA,NA,NA,2,0,2,1,39.4635673,-0.3414585,176000,176000,"camins al grau",6,"exterior",0,8
"33000",1,95,NA,1,NA,NA,NA,3,0,2,1,39.4590487,-0.3973139,181000,181000,"patraix",7,"exterior",0,0
"33015",1,56,NA,1,NA,NA,NA,2,0,2,1,39.4717721,-0.378342,170000,170000,"ciutat vella",2,"exterior",0,0
"33037",2,235,NA,1,NA,NA,NA,6,0,2,1,39.4671129,-0.3775043,665000,665000,"ciutat vella",5,"exterior",0,0
"33041",2,226,0,1,0,0,0,6,0,2,1,39.4691504,-0.3786267,665000,665000,"ciutat vella",5,"exterior",0,0
"33065",1,66,0,0,0,0,0,3,0,2,1,39.4573558,-0.3923403,65000,65000,"patraix",2,"",0,15
"33073",2,190,0,1,0,0,0,4,0,1,1,39.4622886,-0.3312008,489000,489000,"poblats marítims",4,"exterior",0,0
"33075",2,136,0,1,0,0,0,4,0,2,1,39.4757246,-0.3551776,275000,275000,"el pla del real",6,"exterior",0,28
"33076",2,121,0,1,NA,0,NA,3,0,2,1,39.4709831,-0.3340054,190000,190000,"poblats marítims",2,"exterior",0,0
"33077",2,104,NA,1,1,NA,NA,3,0,2,1,39.4529379,-0.4037781,185000,185000,"patraix",6,"exterior",0,41
"33078",1,121,NA,1,NA,NA,NA,4,0,2,1,39.4578367,-0.3782014,266900,266900,"l'eixample",4,"exterior",0,25
"33079",2,90,NA,1,NA,NA,1,4,0,2,1,39.4691937,-0.4114208,159000,159000,"l'olivereta",7,"exterior",0,16
"33080",1,84,NA,1,NA,NA,NA,3,0,2,1,39.4512411,-0.4035643,73000,73000,"patraix",4,"interior",0,25
"33090",2,170,0,1,0,0,0,3,0,2,1,39.4742254,-0.37145,470000,470000,"ciutat vella",3,"exterior",0,51
"33099",1,53,NA,1,NA,NA,NA,1,0,2,1,39.4645783,-0.3351554,138000,138000,"poblats marítims",1,"exterior",0,12
"33105",1,55,1,1,NA,1,NA,1,0,2,1,39.4969678,-0.391016,129900,129900,"benicalap",5,"exterior",0,3
"33107",1,66,NA,0,NA,NA,NA,3,0,2,1,39.4591558,-0.3917403,65000,65000,"patraix",2,"exterior",0,12
"33112",1,78,NA,1,NA,NA,NA,3,0,2,1,39.4829664,-0.3832491,140000,140000,"la saïdia",1,"exterior",0,51
"33128",2,130,NA,1,NA,NA,1,3,0,2,1,39.4699238,-0.3638901,570000,570000,"l'eixample",7,"exterior",0,49
"33130",2,120,NA,1,NA,NA,NA,3,0,2,1,39.4528355,-0.4033231,162000,162000,"patraix",4,"exterior",0,28
