"";"baños";"m2";"jardin";"ascensor";"piscina";"terraza";"habitaciones";"a_reformar";"tipo_vendedor";"latitud";"longitud";"url";"precio_final";"distrito";"barrio";"armarios.empotrados";"acceso.adaptado";"aire.acondicionado";"balcon";"trastero";"garaje.incluido";"calefaccion";"planta";"vistas";"variacion_precio";"dias_venta";"planta_cat";"preciom2"
"440";2;115;"0";"1";"0";"0";3;"0";"2";39,456388;-0,386236;"https://www.idealista.com/inmueble/91311774/";175000;"jesús";"la raiosa";"0";"1";"0";"1";"1";"1";"1";3;"1";-5000;16;"Media";1521,73913043478
"441";1;55;"0";"0";"0";"0";3;"0";"2";39,4923688;-0,3905821;"https://www.idealista.com/inmueble/91320031/";65000;"benicalap";"benicalap";"0";"0";"0";"0";"0";"0";"0";5;"1";0;0;"Alta";1181,81818181818
"442";1;75;"0";"1";"0";"0";2;"0";"2";39,4607625;-0,3692077;"https://www.idealista.com/inmueble/91328813/";220000;"l'eixample";"russafa";"1";"0";"1";"1";"0";"0";"1";3;"1";0;25;"Media";2933,33333333333
"443";2;118;"0";"1";"0";"0";2;"0";"2";39,479144;-0,359515;"https://www.idealista.com/inmueble/91348870/";350000;"el pla del real";"jaume roig";"1";"1";"1";"0";"0";"1";"1";9;"1";0;20;"Alta";2966,10169491525
"444";1;99;"0";"1";"0";"0";3;"0";"2";39,4776131;-0,3993809;"https://www.idealista.com/inmueble/91354480/";185000;"campanar";"campanar";"1";"1";"1";"1";"0";"0";"1";8;"1";0;3;"Alta";1868,68686868687
"445";1;84;"0";"1";"0";"0";2;"0";"2";39,4593625;-0,3693077;"https://www.idealista.com/inmueble/91368912/";220000;"l'eixample";"russafa";"1";"1";"1";"1";"0";"0";"0";3;"1";0;41;"Media";2619,04761904762
"446";1;58;"0";"0";"0";"0";2;"0";"2";39,4662692;-0,4085601;"https://www.idealista.com/inmueble/91371780/";50100;"l'olivereta";"la fontsanta";"0";"0";"0";"0";"0";"0";"0";2;"1";0;16;"Baja";863,793103448276
"447";2;94;"0";"0";"0";"0";3;"0";"2";39,4600445;-0,3776654;"https://www.idealista.com/inmueble/91375234/";220000;"l'eixample";"russafa";"0";"0";"1";"1";"0";"0";"0";1;"1";0;0;"Baja";2340,42553191489
"448";2;131;"0";"1";"0";"0";3;"0";"2";39,4747403;-0,3861316;"https://www.idealista.com/inmueble/91377514/";257000;"extramurs";"el botànic";"0";"0";"0";"0";"0";"0";"0";4;"1";0;0;"Media";1961,8320610687
"449";2;120;"0";"1";"0";"0";3;"0";"1";39,4630451;-0,3882672;"https://www.idealista.com/inmueble/91381444/";205000;"patraix";"patraix";"1";"0";"0";"0";"0";"1";"0";2;"1";0;12;"Baja";1708,33333333333
"450";2;108;"0";"1";"1";"0";3;"0";"1";39,4938582;-0,3840899;"https://www.idealista.com/inmueble/91397733/";225000;"benicalap";"nou benicalap";"1";"0";"1";"0";"0";"1";"1";6;"1";0;13;"Alta";2083,33333333333
"451";2;120;"0";"1";"0";"0";3;"0";"2";39,4601963;-0,3912128;"https://www.idealista.com/inmueble/91399909/";205000;"patraix";"patraix";"1";"0";"0";"0";"0";"1";"0";2;"1";0;0;"Baja";1708,33333333333
"452";1;79;"0";"0";"0";"0";4;"0";"1";39,4617095;-0,3650343;"https://www.idealista.com/inmueble/91416855/";153550;"l'eixample";"russafa";"0";"0";"0";"0";"0";"0";"0";4;"1";0;44;"Media";1943,67088607595
"453";2;66;"0";"1";"0";"0";2;"0";"2";39,4621512;-0,3782727;"https://www.idealista.com/inmueble/91437166/";240000;"l'eixample";"russafa";"0";"0";"0";"0";"0";"0";"0";3;"1";0;16;"Media";3636,36363636364
"454";2;66;"0";"1";"0";"0";2;"0";"2";39,4621512;-0,3782727;"https://www.idealista.com/inmueble/91437337/";243000;"l'eixample";"russafa";"0";"0";"0";"0";"0";"0";"0";4;"1";0;16;"Media";3681,81818181818
"455";2;66;"0";"1";"0";"0";2;"0";"2";39,4621512;-0,3782727;"https://www.idealista.com/inmueble/91437589/";255000;"l'eixample";"russafa";"0";"0";"0";"0";"0";"0";"0";7;"1";0;16;"Alta";3863,63636363636
"456";2;120;"0";"1";"0";"0";3;"0";"2";39,4593926;-0,389312;"https://www.idealista.com/inmueble/91446700/";205000;"patraix";"patraix";"1";"0";"1";"0";"0";"1";"0";2;"1";0;0;"Baja";1708,33333333333
"457";1;80;"0";"1";"0";"0";2;"0";"2";39,4620625;-0,3692077;"https://www.idealista.com/inmueble/91451412/";220000;"l'eixample";"russafa";"1";"0";"1";"1";"0";"0";"0";3;"1";0;44;"Media";2750
"458";2;184;"0";"1";"0";"0";7;"0";"2";39,4682429;-0,3777412;"https://www.idealista.com/inmueble/91478171/";450000;"ciutat vella";"sant francesc";"0";"0";"0";"1";"0";"0";"1";5;"1";0;28;"Alta";2445,65217391304
"459";2;136;"1";"1";"1";"1";3;"0";"2";39,4631057;-0,3361112;"https://www.idealista.com/inmueble/91482207/";315000;"poblats marítims";"el grau";"1";"1";"1";"1";"1";"1";"1";3;"1";0;0;"Media";2316,17647058824
"460";2;125;"0";"1";"0";"0";4;"0";"2";39,4644954;-0,376932;"https://www.idealista.com/inmueble/91494021/";380000;"l'eixample";"russafa";"1";"0";"1";"0";"0";"1";"1";3;"1";0;25;"Media";3040
"461";2;136;"0";"1";"0";"1";3;"0";"2";39,4655676;-0,3311595;"https://www.idealista.com/inmueble/91498200/";266700;"poblats marítims";"el cabanyal-el canyamelar";"0";"0";"0";"1";"1";"0";"0";5;"1";-100;8;"Alta";1961,02941176471
"462";2;125;"0";"1";"1";"1";3;"0";"2";39,4633818;-0,356689;"https://www.idealista.com/inmueble/91507847/";480000;"camins al grau";"penya-roja";"1";"0";"1";"1";"0";"1";"1";9;"1";0;0;"Alta";3840
"463";2;120;"0";"1";"0";"0";3;"0";"1";39,4644936;-0,3671304;"https://www.idealista.com/inmueble/91524224/";380000;"l'eixample";"gran vía";"1";"1";"1";"1";"0";"0";"0";4;"1";0;28;"Media";3166,66666666667
"464";1;80;"0";"1";"0";"0";2;"1";"2";39,4742073;-0,3719714;"https://www.idealista.com/inmueble/91535378/";170000;"ciutat vella";"la xerea";"1";"0";"0";"0";"0";"0";"1";3;"1";0;0;"Media";2125
"465";1;49;"0";"0";"0";"0";2;"0";"2";39,4758122;-0,3696225;"https://www.idealista.com/inmueble/91540692/";175000;"ciutat vella";"la xerea";"1";"0";"1";"1";"0";"0";"1";2;"1";0;12;"Baja";3571,42857142857
"466";4;137;"0";"1";"0";"1";3;"0";"2";39,4742865;-0,3239793;"https://www.idealista.com/inmueble/91545580/";730000;"poblats marítims";"playa de la malvarrosa";"1";"0";"1";"0";"1";"1";"1";2;"1";0;24;"Baja";5328,46715328467
"467";1;76;"0";"1";"0";"0";2;"1";"2";39,4754073;-0,3719714;"https://www.idealista.com/inmueble/91552086/";170000;"ciutat vella";"la xerea";"0";"0";"0";"0";"0";"0";"0";3;"1";0;20;"Media";2236,84210526316
"468";2;116;"0";"0";"0";"1";2;"0";"2";39,4772152;-0,3766558;"https://www.idealista.com/inmueble/91554288/";399000;"ciutat vella";"la seu";"0";"0";"1";"1";"0";"0";"1";1;"1";0;44;"Baja";3439,65517241379
"469";1;42;"0";"1";"0";"0";1;"0";"2";39,4747634;-0,3730073;"https://www.idealista.com/inmueble/91571883/";180000;"ciutat vella";"la xerea";"1";"0";"1";"0";"0";"0";"1";3;"1";0;49;"Media";4285,71428571429
"470";3;190;"0";"1";"0";"1";3;"1";"2";39,4717472;-0,3765627;"https://www.idealista.com/inmueble/91587181/";580000;"ciutat vella";"sant francesc";"1";"0";"1";"1";"0";"0";"1";10;"1";0;28;"Alta";3052,63157894737
"471";2;99;"0";"1";"0";"0";3;"0";"2";39,4409314;-0,3893288;"https://www.idealista.com/inmueble/91589450/";125000;"jesús";"camí reial";"0";"0";"1";"0";"0";"1";"0";3;"1";0;16;"Media";1262,62626262626
"472";1;101;"0";"1";"0";"0";2;"0";"2";39,4638089;-0,3599416;"https://www.idealista.com/inmueble/91606784/";350000;"el pla del real";"mestalla";"1";"0";"0";"0";"0";"0";"1";6;"1";0;49;"Alta";3465,34653465347
"473";1;30;"0";"1";"0";"0";1;"0";"2";39,4675517;-0,3698991;"https://www.idealista.com/inmueble/91610250/";180000;"l'eixample";"el pla del remei";"1";"1";"1";"0";"0";"0";"1";4;"0";0;12;"Media";6000
"474";1;63;"0";"1";"0";"0";3;"0";"2";39,46282;-0,3442377;"https://www.idealista.com/inmueble/91612485/";135000;"camins al grau";"la creu del grau";"0";"1";"0";"0";"0";"0";"1";5;"1";0;4;"Alta";2142,85714285714
"475";2;95;"1";"1";"1";"1";2;"0";"1";39,4531965;-0,3605294;"https://www.idealista.com/inmueble/91626113/";240000;"quatre carreres";"ciutat de les arts i de les ciencies";"1";"0";"1";"0";"0";"1";"0";8;"1";0;32;"Alta";2526,31578947368
"476";1;85;"0";"1";"0";"0";3;"0";"1";39,45687;-0,372;"https://www.idealista.com/inmueble/91626555/";125000;"quatre carreres";"en corts";"1";"0";"1";"1";"0";"0";"0";8;"1";0;63;"Alta";1470,58823529412
"477";1;70;"0";"0";"0";"1";2;"0";"2";39,473435;-0,3296452;"https://www.idealista.com/inmueble/91628227/";255000;"poblats marítims";"el cabanyal-el canyamelar";"0";"1";"0";"1";"0";"0";"1";1;"1";-10000;40;"Baja";3642,85714285714
"478";1;61;"0";"0";"0";"0";2;"0";"2";39,4711275;-0,3355453;"https://www.idealista.com/inmueble/91628553/";79900;"poblats marítims";"beteró";"0";"0";"0";"1";"0";"0";"1";4;"1";900;32;"Media";1309,83606557377
"479";2;195;"0";"1";"0";"0";4;"0";"2";39,471651;-0,3791663;"https://www.idealista.com/inmueble/91629071/";470000;"ciutat vella";"sant francesc";"0";"0";"1";"0";"0";"0";"1";7;"1";0;12;"Alta";2410,25641025641
"480";2;183;"0";"1";"0";"0";3;"1";"2";39,47445;-0,380629;"https://www.idealista.com/inmueble/91629164/";365000;"ciutat vella";"el mercat";"1";"0";"1";"1";"0";"0";"1";3;"1";0;20;"Media";1994,53551912568
